order_id,category,supplier,marketing_channel,region,order_value,shipping_days,customer_rating,discount_percent,is_weekend_order,returned,return_risk_score,risk_category
7819,Clothing,SupplierE,Affiliate,South,140.3038889356577,14,3.4712530156411114,25.25361639331946,0,0,0.5866810762346247,Very High
882,Clothing,SupplierD,Affiliate,East,105.86780477338858,14,2.2929695039932616,32.34000677015695,1,0,0.5834084855234469,Very High
7720,Electronics,SupplierC,Affiliate,East,148.1416055589271,14,2.6794535932337338,38.98480852661845,0,0,0.5721612003709633,Very High
6699,Electronics,SupplierD,Affiliate,North,73.97845790875049,13,2.6159714834989414,27.23485372542536,0,1,0.5648623918796337,Very High
9801,Clothing,SupplierD,Email,South,26.41165464636534,14,3.248158734260795,30.315567820619762,1,0,0.5614558447173833,Very High
9696,Beauty,SupplierA,Email,Central,70.77671968822317,13,2.897066886946856,41.20772798148987,0,1,0.5558699357457331,Very High
2884,Beauty,SupplierE,Affiliate,East,31.414785054956386,11,3.4220023074995782,31.468989687399464,0,0,0.5547659243449138,Very High
5517,Electronics,SupplierD,Affiliate,North,18.122146606658145,13,3.156482387023468,26.007529016091233,0,0,0.5511088538252658,Very High
8240,Clothing,SupplierD,Email,South,70.7689281732499,13,3.1910352318491855,41.30557418510505,1,1,0.5498068563786208,Very High
7451,Beauty,SupplierE,Affiliate,East,49.1894030746457,14,2.57169067695468,13.295820592432978,0,0,0.5493765376948959,Very High
9206,Clothing,SupplierC,Email,East,63.25499996594068,13,3.4004929580776944,46.76231569033143,0,0,0.5486962535405845,Very High
8319,Clothing,SupplierC,Affiliate,North,12.211523559131361,13,3.378450339796427,26.608603788664283,0,1,0.5484014556850555,Very High
2414,Electronics,SupplierE,Paid Search,South,34.071532847355826,13,3.2159919471339133,54.54475810323609,0,1,0.5405741099532646,Very High
3969,Beauty,SupplierD,Affiliate,East,32.39166022651512,14,2.3493833069920003,4.344451435869835,0,0,0.5353203664397354,Very High
3734,Books,SupplierE,Email,Central,20.048643441192386,11,2.674888580348736,26.6702416185558,0,0,0.5349115397624895,Very High
9917,Clothing,SupplierA,Email,Central,100.78396601074374,14,3.489071294580572,35.281369195238696,0,1,0.5316278385415131,Very High
7124,Clothing,SupplierE,Direct,Central,53.97936777403587,14,1.603013770809493,4.1605921588582495,0,0,0.5289626235331268,Very High
8227,Clothing,SupplierB,Direct,West,192.77896151243735,13,3.30082324233741,33.981553927458805,1,1,0.5267431953962174,Very High
6702,Beauty,SupplierA,Direct,South,63.73037509767497,11,2.602503533465608,71.27423634958093,0,1,0.525815705222076,Very High
9649,Clothing,SupplierA,Paid Search,East,27.97687366695734,14,2.947276303815671,25.194683280809542,0,0,0.5257771124663609,Very High
7617,Books,SupplierE,Affiliate,South,38.14043674565301,14,3.200554182944952,3.3222248130944045,0,0,0.5219538060356255,Very High
2737,Beauty,SupplierE,Direct,Central,36.05334155844418,14,3.4251337144087257,2.1535376094338146,1,0,0.5215487847822743,Very High
9819,Electronics,SupplierC,Organic Search,South,232.80120082996828,13,3.4611764516301635,47.03479967573638,1,1,0.5212400608670558,Very High
9623,Books,SupplierE,Affiliate,East,18.933274700810077,14,3.0247552152529487,8.297207716240651,1,1,0.5200682103813601,Very High
1860,Beauty,SupplierE,Affiliate,West,262.4685534113504,13,3.2133043224441944,2.887699524487746,0,0,0.5197120911169223,Very High
